LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
1.29054,0.000454172,-0.000363495,0.000259761,1.48936e-06
1.294,0.000451382,-0.000362862,0.000255881,1.33347e-06
1.29746,0.000448903,-0.000362423,0.000252278,9.61171e-07
1.30092,0.000446961,-0.000362296,0.000249237,7.17054e-07
1.30438,0.000445072,-0.000362177,0.000246264,8.7669e-07
1.30784,0.000442866,-0.000361832,0.000242985,1.27873e-06
1.3113,0.000440165,-0.000361129,0.000239246,1.76821e-06
1.31476,0.000437038,-0.000360106,0.000235109,2.0319e-06
1.31822,0.000434121,-0.000359175,0.000231222,1.9698e-06
1.32168,0.000431596,-0.000358451,0.000227805,2.05261e-06
1.32514,0.000428882,-0.000357559,0.000224259,2.51148e-06
1.3286,0.000425696,-0.000356315,0.000220244,3.04821e-06
1.33206,0.000422219,-0.000354847,0.000215948,3.41247e-06
1.33552,0.000418652,-0.00035326,0.000211619,3.64495e-06
1.33898,0.000414857,-0.000351474,0.000207129,3.82523e-06
1.34244,0.000410933,-0.000349572,0.00020247,3.68218e-06
1.3459,0.000407562,-0.000348038,0.000198304,3.12701e-06
1.34936,0.000404856,-0.00034697,0.000194806,2.65863e-06
1.35282,0.000402358,-0.000346029,0.00019148,2.46329e-06
1.35628,0.000399962,-0.000345174,0.000188192,2.38385e-06
1.35974,0.000397626,-0.000344356,0.000184906,2.42078e-06
1.3632,0.000395268,-0.000343504,0.000181573,2.5171e-06
1.36666,0.00039276,-0.000342513,0.000178135,2.70468e-06
1.37012,0.000389975,-0.000341292,0.000174436,2.9066e-06
1.37358,0.000387017,-0.000339899,0.000170557,2.90432e-06
1.37704,0.000384135,-0.000338539,0.00016676,2.66509e-06
1.3805,0.000381574,-0.000337403,0.000163269,2.25485e-06
1.38396,0.000379292,-0.000336452,0.000160062,1.92319e-06
1.38742,0.000377153,-0.000335601,0.000156973,1.65112e-06
1.39088,0.000375146,-0.000334847,0.000153982,1.50939e-06
1.39434,0.000373089,-0.000334041,0.00015086,1.4027e-06
1.3978,0.000371164,-0.000333342,0.000147781,1.11845e-06
1.40126,0.000369625,-0.000332937,0.000145052,7.46812e-07
1.40472,0.000368363,-0.000332727,0.000142618,5.94358e-07
1.40818,0.000367037,-0.000332457,0.000140131,7.22076e-07
1.41164,0.000365509,-0.000331986,0.000137462,9.89592e-07
1.4151,0.000363734,-0.000331312,0.00013455,1.30184e-06
1.41856,0.00036182,-0.000330506,0.000131452,1.44634e-06
1.42202,0.000360075,-0.00032982,0.000128527,1.35625e-06
1.42548,0.000358591,-0.000329303,0.00012593,1.35726e-06
1.42894,0.000356999,-0.000328677,0.000123326,1.66694e-06
1.4324,0.00035505,-0.00032771,0.000120416,2.11188e-06
1.43586,0.000352835,-0.000326505,0.000117277,2.45608e-06
1.43932,0.000350588,-0.000325243,0.000114122,2.66498e-06
1.44278,0.000348329,-0.000323928,0.000110978,2.87478e-06
1.44624,0.000345888,-0.000322445,0.000107669,3.04129e-06
1.4497,0.000343403,-0.000320893,0.000104287,2.91037e-06
1.45316,0.000341222,-0.000319572,0.000101231,2.52642e-06
1.45662,0.000339329,-0.000318487,9.85094e-05,2.23612e-06
1.46008,0.0003375,-0.000317444,9.58576e-05,2.1213e-06
1.46354,0.000335703,-0.000316406,9.32062e-05,2.06328e-06
