LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
1.3459,0.000153121,-0.000136522,6.757e-05,3.12701e-07
1.34936,0.000152698,-0.000136586,6.65029e-05,2.65863e-07
1.35282,0.000152304,-0.000136654,6.54521e-05,2.46329e-07
1.35628,0.00015192,-0.000136739,6.44042e-05,2.38385e-07
1.35974,0.000151543,-0.00013682,6.33556e-05,2.42078e-07
1.3632,0.000151172,-0.000136896,6.23023e-05,2.5171e-07
1.36666,0.000150777,-0.00013695,6.12376e-05,2.70468e-07
1.37012,0.000150363,-0.00013699,6.0145e-05,2.9066e-07
1.37358,0.000149942,-0.000137004,5.90344e-05,2.90432e-07
1.37704,0.000149519,-0.000137012,5.7932e-05,2.66509e-07
1.3805,0.000149136,-0.000137051,5.68584e-05,2.25485e-07
1.38396,0.000148782,-0.0001371,5.58132e-05,1.92319e-07
1.38742,0.000148442,-0.000137159,5.47789e-05,1.65112e-07
1.39088,0.000148116,-0.000137228,5.37535e-05,1.50939e-07
1.39434,0.000147793,-0.000137282,5.2715e-05,1.4027e-07
1.3978,0.000147483,-0.000137347,5.16799e-05,1.11845e-07
1.40126,0.000147213,-0.000137442,5.06789e-05,7.46812e-08
1.40472,0.000146969,-0.000137547,4.97074e-05,5.94358e-08
1.40818,0.000146729,-0.000137655,4.87297e-05,7.22076e-08
1.41164,0.000146468,-0.000137725,4.77329e-05,9.89592e-08
1.4151,0.000146182,-0.000137783,4.67109e-05,1.30184e-07
