LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.941167,0.915856,0.731943,0.183913,1,0.0616811
0.583933,0.915856,0.451116,0.46474,1,0.170578
1.25311,0.768214,0.387552,0.380662,3,0.0999289
0.92112,0.838793,0.223122,0.61567,2,0.166772
1.21801,0.838793,0.477782,0.361011,2,0.0799318
0.84886,0.838793,0.41796,0.420833,2,0.134297
0.800078,0.915856,0.905238,0.0106186,1,0.0684344
0.172084,0.915856,0.457235,0.458622,1,0.113976
0.14068,0.915856,0.894502,0.0213544,1,0.0676461
0.640849,0.768214,0.385009,0.383205,3,0.137063
0.851253,0.703573,0.4201,0.283474,4,0.0957547
0.910914,0.838793,0.139818,0.698975,2,0.0746827
5.7475,0.495016,0.247363,0.247652,8,0.164707
0.00848362,0.915856,0.594444,0.321413,1,0.0575384
1.08868,0.838793,0.34236,0.496433,2,0.154985
1.03665,0.838793,0.42283,0.415963,2,0.136425
1.15063,0.838793,0.364423,0.474369,2,0.110392
0.223401,0.838793,0.214439,0.624354,2,0.0832138
1.99116,0.703573,0.300975,0.402599,4,0.0568074
0.557944,0.838793,0.0933062,0.745487,2,0.0762931
0.768146,0.838793,0.500128,0.338665,2,0.032774
1.97615,0.838793,0.468147,0.370646,2,0.0372941
1.12707,0.915856,0.70072,0.215136,1,0.094608
0.686888,0.915856,0.737775,0.178081,1,0.158631
0.478312,0.915856,0.467432,0.448424,1,0.112242
0.0898759,0.915856,0.45104,0.464816,1,0.135243
0.941917,0.838793,0.254957,0.583836,2,0.0694851
1.5387,0.838793,0.364543,0.47425,2,0.0895333
0.116555,0.838793,0.209204,0.629589,2,0.0792867
0.678009,0.838793,0.639955,0.198838,2,0.0946446
0.421609,0.915856,0.475075,0.440781,1,0.136427
0.545787,0.915856,0.915111,0.000745126,1,0.069785
2.03298,0.838793,0.247473,0.59132,2,0.0377177
